Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Benin,10.36242865,10.28977569,12.12753753,9.091876656,13.1220298,9.596118407,9.376919426,9.888456021,9.592306283,6.346493543,6.709863263,4.946741044,4.56566914,3.563621815,3.092645133,3.096704557,2.999489308,2.688073992,2.22603446,2.309376727,2.411029882,2.172383858,2.084126372,1.911670787,1.844250604,2.208433837,2.269676834,2.126494216,1.973196808
Bhutan,-18.21291441,-21.63603282,-21.61133129,-23.16787095,-20.01465538,-17.55465833,-16.71824033,-14.20902847,-13.76821849,-12.24239045,-12.20362363,-11.35564481,-10.00288851,-8.691449212,-7.735993322,-6.386945074,-5.840067438,-4.305369624,-4.202608776,-4.165267804,-3.223532291,0.270102777,0.348064063,0.38150212,0.38802557,0.384308588,0.46781521,0.452993751,0.474075739
Bolivia,21.56717373,19.79684999,19.06485353,19.0716946,18.63157288,16.53259188,15.10213648,14.22465873,13.38621825,14.38972942,13.07705931,10.96721537,12.04353653,11.48055074,11.95880517,10.55075698,8.955743252,8.179763858,6.142377712,5.847176806,6.242865224,4.649661752,4.12782257,3.649132828,3.406151036,3.500282002,3.722917126,3.341096685,3.132721975
Bosnia and Herzegovina,0,0,0,0,7.620625247,5.078826402,3.790318814,4.213173502,4.447737874,3.905472111,4.008436137,3.270137684,2.847646335,2.322614271,1.934654777,1.886312722,1.790959712,1.53117154,1.363488462,1.493144349,1.531136683,1.359633974,1.36763256,1.283383947,1.11809548,1.291055486,1.50532148,1.423110171,1.260930299
Botswana,14.49387367,13.79225393,13.17974657,13.05982537,12.82126231,11.74055512,11.75389956,11.27641004,11.77966494,10.30221518,9.723012303,10.58181146,10.74490446,6.8321159,5.799630174,5.378616759,5.445909996,4.891648136,5.692060214,5.178660789,4.986448958,4.483462996,4.020861141,3.843843588,3.451526297,3.864612095,3.510082904,3.377650888,3.078239435
Brazil,3.55474026,2.768756219,4.188279302,3.857762557,3.057401434,2.244577373,2.042011765,2.000362401,2.084050926,3.022554257,2.758824427,3.402110912,3.80976378,3.491702509,2.983348281,2.247040359,1.796891892,1.449628571,1.194611765,1.202904192,0.952312217,0.484958015,0.531004049,0.540493927,0.558044715,0.752377778,0.802211111,0.709432039,0.75162963
Brunei,4.405559474,4.081944644,3.693037418,3.862916491,3.983032516,3.546668554,3.340759739,3.461390696,5.344165191,3.8,3.011087882,3.224372063,3.104394715,2.937169692,2.395731924,1.978722367,1.80895626,1.624795623,1.374964482,1.820660932,1.347450241,0.95113067,0.927134363,0.964417156,1.017057645,1.258275565,1.45339986,1.373668862,1.249322715
Bulgaria,3.712178292,5.425114223,5.168824701,4.80345266,4.963177321,2.599652891,4.057190617,4.185229607,2.894743,2.684312923,2.71557083,2.58116863,2.07037237,1.832585961,1.431307847,1.252457232,1.090174763,0.938630892,0.720256143,0.611262163,0.66472383,0.88418444,0.833560812,0.718506055,0.747776946,0.892443874,0.380434516,0.384083703,0.294729794
Burkina Faso,8.396474074,8.449637635,11.95840824,11.59939583,14.52019796,11.72506316,10.7595028,11.59061757,10.39251727,8.639394054,10.28833619,10.11167651,9.110107566,7.694955178,6.801562029,6.141853809,5.773266298,5.055258285,4.167620508,4.242015015,4.08225079,2.57609568,2.534826782,2.444158284,2.392595532,2.882821234,4.188301886,3.874684006,3.422185867
Burundi,7.357999099,7.229750731,7.829829217,9.055726267,9.12402259,8.656291697,9.976596355,8.952650233,9.767604783,10.80342293,9.95995265,7.447581319,7.862906863,8.207434767,7.069050241,5.827521237,5.238048411,4.969770798,4.262220485,3.940598914,3.621806182,1.162883859,1.140012329,1.23183586,1.093953101,0.947044475,2.787500253,2.799237567,2.960224509
